Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
LPG,U-Haul,1290 Pleasant Hill Rd,Between Club and Cruse,Lawrenceville,GA,30044,,770-381-9793,E,,Public - Call ahead,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,33.936021,-84.12031,5/12/2025,19517,2026-02-02 23:16:24 UTC,P,,,11/1/2000,,,FALSE,,,US,,,,Public - Appeler à l'avance,,public,CALL,,RENTAL_CAR_RETURN,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,FALSE,,,,,,,,HD,,
LPG,U-Haul,7242 Highway 85,North of Highway 138,Riverdale,GA,30274,,770-997-5923,E,,Public - Call ahead,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,33.557101,-84.413272,5/12/2025,19518,2026-02-02 23:16:24 UTC,P,,,11/1/2000,,,FALSE,,,US,,,,Public - Appeler à l'avance,,public,CALL,,RENTAL_CAR_RETURN,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,FALSE,,,,,,,,HD,,
LPG,U-Haul,2161 Hewatt Rd,West of Snellville on Highway 78,Snellville,GA,30039,,770-979-5237,E,,Public - Call ahead,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,GPS,33.842699,-84.061184,5/12/2025,19519,2026-02-02 23:16:24 UTC,P,,,11/1/2000,,,FALSE,,,US,,,,Public - Appeler à l'avance,,public,CALL,,RENTAL_CAR_RETURN,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,FALSE,,,,,,,,HD,,
LPG,U-Haul,3947 NE Peachtree Rd,At Druid Hills,Atlanta,GA,30319,,404-231-2126,E,,Public - Call ahead,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,GPS,33.857618,-84.341682,5/12/2025,19520,2026-02-02 23:16:24 UTC,P,,,11/1/2000,,,FALSE,,,US,,,,Public - Appeler à l'avance,,public,CALL,,RENTAL_CAR_RETURN,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,FALSE,,,,,,,,HD,,
LPG,U-Haul,4225 Fulton Industrial,At I-20,Atlanta,GA,30336,,404-696-8817,E,,Public - Call ahead,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,33.76567945,-84.53068327,5/12/2025,19521,2026-02-02 23:16:24 UTC,P,,,11/1/2000,,,FALSE,,,US,,,,Public - Appeler à l'avance,,public,CALL,,RENTAL_CAR_RETURN,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,FALSE,,,,,,,,HD,,
LPG,U-Haul,2951 NE Expy,At Shallowford Rd,Chamblee,GA,30341,,770-458-8353,E,,Public - Call ahead,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,33.864748,-84.286938,5/12/2025,19522,2026-02-02 23:16:24 UTC,P,,,11/1/2000,,,FALSE,,,US,,,,Public - Appeler à l'avance,,public,CALL,,RENTAL_CAR_RETURN,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,FALSE,,,,,,,,HD,,
LPG,U-Haul,3363 Wrightsboro Rd,East of Bobby Jones,Augusta,GA,30909,,706-738-6463,E,,Public - Call ahead,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,33.469164,-82.074659,5/12/2025,19530,2026-02-02 23:16:24 UTC,P,,,11/1/2000,,,FALSE,,,US,,,,Public - Appeler à l'avance,,public,CALL,,RENTAL_CAR_RETURN,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,FALSE,,,,,,,,HD,,
CNG,Metropolitan Atlanta Rapid Transit Authority,277 Laredo Dr,,Scottdale,GA,30030,,,E,,Private - Government only,,,,Q,3600,,,,,,,GPS,33.7829229,-84.2706594,2/12/2024,25597,2025-11-14 21:49:07 UTC,LG,,,7/15/2004,,HD,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,FLEET_GARAGE,,,1100,,,,,,,,,Q,3600,HD,,,,,,,,,,,HD,,
LPG,USA Gas Inc,815 N Tibbs Rd,I-75 exit 336  turn left on Tibbs Rd across from Wendy's,Dalton,GA,30720,,706-279-2900,E,,Public,8am-5pm M-F,Cash M V,,,,,,,,,,GPS,34.78582557666189,-85.00308179,6/13/2024,25983,2025-09-18 16:01:33 UTC,P,,,11/20/2004,,,FALSE,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,ACME,,,,,,,,FALSE,,,,,,,,MD,,
LPG,Blossman Gas Inc,3081 US-27 BUS,Hwy 27 Bypass Buchanan Ga,Buchanan,GA,30113,,770-646-5400,E,,Public - Call ahead,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),A ALLIANCE Cash D M V,,,,,,,,,,GPS,33.790729,-85.18092,10/11/2024,26674,2025-06-11 19:53:17 UTC,P,,,3/22/2005,,,FALSE,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,FALSE,,,,,,,,HD,,
LPG,Blossman Gas Inc,66 Rickman St,,Clayton,GA,30525,,706-782-8305,E,,Public - Call ahead,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),A ALLIANCE Cash Checks D M V,,,,,,,,,,GPS,34.87776316132707,-83.39517063,10/11/2024,26675,2025-06-11 19:53:17 UTC,P,,,3/22/2005,,,FALSE,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,FALSE,,,,,,,,HD,,
LPG,Blossman Gas Inc,2739 Highway 129 S,,Cleveland,GA,30528,,706-865-1797,E,,Public - Call ahead,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),A ALLIANCE Cash D M V,,,,,,,,,,GPS,34.558527,-83.761408,10/11/2024,26676,2025-06-11 19:53:17 UTC,P,,,3/22/2005,,,FALSE,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,FALSE,,,,,,,,HD,,
LPG,Blossman Gas Inc,8905 Highway 5,,Douglasville,GA,30134,,770-949-9815,E,,Public - Call ahead,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),A ALLIANCE Cash Checks D M V,,,,,,,,,,200-9,33.739385,-84.77525,10/11/2024,26677,2025-06-11 19:53:17 UTC,P,,,3/22/2005,,,FALSE,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,FALSE,,,,,,,,HD,,
LPG,Blossman Gas Inc,1725 N Main St,,Lafayette,GA,30728,,404-273-2927,E,,Public - Call ahead,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),A ALLIANCE Cash Checks D M V,,,,,,,,,,200-9,34.734529,-85.276451,10/11/2024,26678,2025-06-11 19:53:17 UTC,P,,,3/22/2005,,,FALSE,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,FALSE,,,,,,,,HD,,
LPG,Blossman Gas Inc,3918 Rockmart Hwy,Highway 278 between Rockmart and Cedartown,Cedartown,GA,30125,,770-684-7382,E,,Public - Call ahead,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),A ALLIANCE Cash Checks D M V,,,,,,,,,,GPS,34.002203,-85.146333,10/11/2024,26679,2025-06-11 19:53:17 UTC,P,,,3/22/2005,,,FALSE,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,FALSE,,,,,,,,HD,,
E85,Fort Stewart,Tank Tr,,Fort Stewart,GA,31314,,,E,,Private - Government only,"Also accepts VIL Key, Military CAT",Proprietor Wright_Exp,,,,,,,,,,GPS,31.881908,-81.636969,11/13/2025,30238,2026-02-02 23:16:24 UTC,FG,6,Department of Army,9/15/2009,,,,FALSE,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,DA,MIL_BASE,,,,,,,,,,,,,,,,,,,,,,,,,LD,,
BD,Robins Air Force Base,640 2nd St,,Macon,GA,31098,,,E,,Private - Government only,Also accepts paying arrangement made with station manager,Wright_Exp,B20,,,,,,,,,GPS,32.619389,-83.602222,11/13/2025,30305,2026-02-02 23:16:24 UTC,FG,5,Department of Air Force,9/15/2006,,,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,DAF,MIL_BASE,,,,,,,,,,,,,,,,,,,,,,,,,LD,,
E85,Speedy #4,101 Marshallville Rd,I-75 exit 135,Perry,GA,31069,,478-987-8061,E,,Public,"6am-11pm M-Th, 6am-12am F-Sat, 6am-10pm Sun",A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,200-9,32.447148,-83.75019,10/13/2025,30844,2026-02-02 23:16:24 UTC,P,,,11/15/2006,,,,FALSE,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,FALSE,,,,,,,,MD,,
E85,Speedy #2,2601 Moody Rd,At Feagan Mill Rd,Warner Robins,GA,31088,,478-328-3755,E,,Public - Credit card after hours,6am-10pm daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,GPS,32.574874,-83.624089,11/13/2025,31200,2026-02-02 23:16:24 UTC,P,,,2/23/2007,,,,FALSE,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,FALSE,,,,,,,,MD,,
E85,Chevron,2755 Clairmont Rd,,Atlanta,GA,30329,,404-321-2712,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,GPS,33.83745508306181,-84.31129161,10/11/2024,33003,2025-10-29 14:16:07 UTC,P,,,8/31/2015,,,,FALSE,,US,,,,Public,,public,,,GAS_STATION,,,,,,,,,,,,,,,,,FALSE,,,,,,,,MD,,
E85,BP - Safa Express,725 Grayson Hwy,,Lawrenceville,GA,30046,,770-277-1119,E,,Public,24 hours daily,A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,GPS,33.956197,-83.988108,11/13/2025,33010,2026-02-02 23:16:24 UTC,P,,,4/11/2008,,,,FALSE,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,FALSE,,,,,,,,MD,,
E85,Texaco,1525 Mountain Industrial,,Stone Mountain,GA,30083,,770-493-9107,E,,Public,6am-12am daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,33.825956,-84.195469,8/12/2025,33012,2026-02-02 23:16:24 UTC,P,,,6/1/2008,,,,FALSE,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,FALSE,,,,,,,,MD,,
CNG,Clean Energy - College Park,4555 Edison Dr,Near Hartsfield-Jackson International Airport,College Park,GA,30337,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,A CleanEnergy Comdata D FleetOne FuelMan M Proprietor V Voyager Wright_Exp,,Q,3600,,,,,,,200-9,33.632374,-84.465773,9/12/2025,33716,2026-02-02 23:16:24 UTC,LG,,,11/12/2008,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,2,NONE,,,,,,,,,,Q,3600,HD,,,FALSE,,,,,,TRUE,,HD,,
E85,Exxon - GasXpress,202 Candler Rd,At Memorial Drive,Atlanta,GA,30317,,404-687-9455,E,,Public,24 hours daily,A Cash D FuelMan M V Voyager Wright_Exp,,,,,,,,,,200-9,33.747469,-84.291757,8/12/2025,35236,2026-02-02 23:16:24 UTC,P,,,2/14/2020,,,,FALSE,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,FALSE,,,,,,,,MD,,
BD,Marine Corps Logistic Base - Albany,814 Radford Blvd,,Albany,GA,31704,,,E,,Private - Government only,,,B20,,,,,,,,,GPS,31.551225,-84.066879,12/12/2025,35324,2026-02-02 23:16:24 UTC,FG,26,United States Marine Corps,7/1/2009,,,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,USMC,MIL_BASE,,,,,,,,,,,,,,,,,,,,,,,,,LD,,
CNG,DeKalb County - Seminole Road Landfill,4295 Clevemont Rd,,Ellenwood,GA,30294,,404-297-4434,E,,Public - Credit card at all times,6am-10pm M-F,D M V Voyager Wright_Exp,,Q,3600,,,,,,,200-8,33.652844,-84.253832,10/11/2024,36304,2025-11-14 20:12:42 UTC,LG,,,9/1/2012,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,MUNI_GOV,2,LANDFILL,,,,,,,,,,Q,3600,HD,,,FALSE,,,,,,TRUE,,HD,,
CNG,Snapping Shoals EMC,14750 Brown Bridge Rd,,Covington,GA,30016,,,E,,Private,,,,Q,3600,,,,,,,200-9,33.553764,-84.010826,11/13/2025,36578,2026-02-02 23:16:24 UTC,T,,,1/1/1998,,MD,,,,US,,,,Privé,,private,,,UTILITY,1,,,,,,,,,,,Q,3600,MD,,,,,,,,,FALSE,,MD,,
E85,BP,4615 Hugh Howell Rd,,Tucker,GA,30084,,770-939-6069,E,,Public,24 hours daily,A Cash Checks D M V Voyager Wright_Exp,,,,,,,,,,200-9,33.848708,-84.200314,1/13/2025,36904,2025-12-15 15:11:34 UTC,P,,,8/15/2016,,,,FALSE,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,FALSE,,,,,,,,MD,,
CNG,CobbLinc,800 S Marietta Pkwy SE,,Atlanta,GA,30060,,,E,,Private - Government only,,,,Q,3000,,,,,,,200-9,33.94136,-84.529676,1/13/2025,37116,2025-11-06 18:09:36 UTC,LG,,,1/1/2002,,MD,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,FLEET_GARAGE,3,,,,,,,,,,,Q,3000,MD,,,,,,,,,FALSE,,MD,,
E85,Federal Law Enforcement Training Center Glynco,1131 Chapel Crossing Rd,,Glynco,GA,31524,,,E,,Private - Government only,Call ahead,,,,,,,,,,,GPS,31.228369,-81.462842,12/12/2025,37131,2026-02-02 23:16:24 UTC,FG,10,Department of Homeland Security,12/15/2008,,,,FALSE,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,DHS,FED_GOV,,,,,,,,,,,,,,,,,,,,,,,,,LD,,
E85,Chevron,295 Mount Vernon Hwy NE,,Sandy Springs,GA,30328,,678-732-9540,E,,Public,6am-11pm daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,GPS,33.92431168486179,-84.37784329,11/13/2025,37134,2026-02-02 23:16:24 UTC,P,,,12/17/2010,,,,FALSE,,US,,,,Public,,public,,,GAS_STATION,,,,,,,,,,,,,,,,,FALSE,,,,,,,,MD,,
ELEC,1075 Peachtree,1075 Peachtree St NE,On Level P12,Atlanta,GA,30309,,,E,,Public,24 hours daily,,,,,,6,,,ENVIROSPARK,https://envirosparkenergy.com,GPS,33.78412,-84.3828,11/13/2025,37265,2026-02-02 23:16:24 UTC,P,,,12/15/2010,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,$0.40 per kWh,,,,,,,,,,FALSE,,,,,,,,LD,TRUE,
E85,Gas N Go,202 B Highway 19 S,Corner of US Hwy 280 W and Hwy 19 S,Americus,GA,31719,,229-931-8940,E,,Public,"5:30am-12am Sun-Th, 5:30am-12:30am F-Sat",A Cash Checks D Debit M V Voyager Wright_Exp,,,,,,,,,,200-9,32.064009,-84.253284,8/12/2025,37353,2026-02-02 23:16:24 UTC,P,,,12/15/2010,,,,FALSE,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,FALSE,,,,,,,,MD,,
LPG,Alliance AutoGas - Modern Gas Co,1335 US Highway 82 W,Located two miles west of the Albany Mall on the right,Leesburg,GA,31763,,229-435-6116  888-446-4551,E,,Public,"8am-6pm M-F, 9am-4pm Sat (full service); 24 hours daily with Alliance AutoGas card (self-service)",A ALLIANCE Cash Checks D M V,,,,,,,,,,200-9,31.633203,-84.240701,1/13/2025,38474,2025-06-11 19:51:38 UTC,P,,,10/13/2013,,,TRUE,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,FALSE,,,,,,,,HD,,
ELEC,Nalley Nissan - Atlanta,2551 The Nalley Way,,Atlanta,GA,30360,,855-416-9828,E,,Public,Dealership business hours,,,,,,2,2,,Non-Networked,,GPS,33.907711,-84.282664,1/13/2026,39985,2026-02-02 23:16:24 UTC,P,,,6/5/2012,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,CAR_DEALER,,,,,,,,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,
ELEC,AutoNation Nissan - Thornton Road,811 Thornton Rd,,Lithia Springs,GA,30122,,770-674-6080,E,,Public,Dealership business hours,,,,,,,1,,IN_CHARGE,https://inchargeus.com,GPS,33.784102,-84.612838,1/13/2026,39989,2026-02-02 23:16:24 UTC,P,,,6/5/2012,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,
ELEC,Regal Nissan,1090 Holcomb Bridge Rd,,Roswell,GA,30076,,770-998-8686,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,GPS,34.021794,-84.327521,1/13/2026,39992,2026-02-02 23:16:24 UTC,P,,,3/15/2011,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Jim Ellis Chevrolet,5900 Peachtree Industrial Blvd,"South of I-285 on west side of Peachtree Industrial Blvd, located near the sales department",Atlanta,GA,30341,,,E,,Public - Call ahead,9am-8pm M-Sat; for Volt use only,,,,,,6,1,,Non-Networked,,GPS,33.90999,-84.2914,1/9/2024,40790,2024-01-31 22:07:01 UTC,P,,,7/27/2011,,,,,J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,SOLAR,TRUE,,,,,,,,LD,FALSE,
